City,Country,Latitude,Longitude,Jan_total_score,Feb_total_score,Mar_total_score,Apr_total_score,May_total_score,Jun_total_score,Jul_total_score,Aug_total_score,Sep_total_score,Oct_total_score,Nov_total_score,Dec_total_score
Vancouver,Canada,49.24966,-123.119339,4.0,3.5,3.0,3.5,5.5,6.0,7.0,6.5,5.0,3.5,3.0,3.5
Portland,United States,45.523449,-122.676208,3.5,3.5,3.5,4.0,5.0,6.5,8.5,7.5,6.5,4.0,3.5,3.5
San Francisco,United States,37.774929,-122.419418,5.0,3.0,5.0,4.5,6.0,7.0,7.0,7.5,7.5,7.0,6.0,3.5
Seattle,United States,47.606209,-122.33206899999999,4.0,3.5,3.5,3.5,5.5,7.0,8.0,7.5,6.5,4.0,3.5,3.5
Los Angeles,United States,34.052231,-118.243683,6.0,7.5,7.0,8.0,8.0,8.5,9.5,9.5,9.5,9.0,8.0,5.5
San Diego,United States,32.715328,-117.157257,6.0,7.0,7.5,7.5,7.0,8.5,9.5,9.5,9.5,8.0,7.0,5.5
Las Vegas,United States,36.174969,-115.137222,5.5,6.0,7.5,6.5,8.0,11.0,10.0,10.5,9.5,8.5,6.0,6.5
Phoenix,United States,33.44838,-112.07404299999999,6.0,7.5,8.5,9.0,10.5,11.5,10.5,10.5,11.0,9.5,8.5,6.0
Albuquerque,United States,35.084492,-106.65113799999999,5.5,5.5,5.0,4.5,6.5,8.5,7.0,7.0,6.5,5.5,6.0,6.0
Denver,United States,39.739151,-104.984703,5.0,3.5,4.0,3.0,3.5,6.5,7.0,6.5,6.5,5.5,6.0,5.0
San Antonio,United States,29.424120000000002,-98.493629,4.0,5.5,6.0,5.0,5.0,9.5,9.5,9.5,8.0,7.5,7.0,4.5
Dallas,United States,32.783058000000004,-96.806671,4.5,3.5,4.0,4.5,5.0,8.5,9.0,8.5,8.0,5.5,4.5,4.0
Houston,United States,29.763281,-95.363274,3.5,4.0,4.5,4.0,5.5,8.5,9.5,9.0,8.0,7.5,6.5,5.0
Kansas City,United States,39.099731,-94.578568,4.5,4.0,3.5,3.5,4.5,7.5,8.5,8.0,7.0,4.0,3.5,4.5
Minneapolis,United States,44.979969,-93.26384,3.5,3.0,3.0,2.0,3.0,4.5,7.0,6.0,5.0,2.5,3.0,2.5
Saint Louis,United States,38.62727,-90.197891,4.0,3.5,2.5,3.5,5.5,8.5,9.5,9.0,8.5,4.5,4.0,4.0
Chicago,United States,41.850029,-87.650047,2.5,3.5,3.0,2.5,4.0,5.0,7.0,7.0,6.0,4.0,3.0,2.5
Nashville,United States,36.165890000000005,-86.784439,5.0,4.0,3.5,5.5,7.0,9.0,9.5,9.0,9.0,6.5,5.5,4.0
Indianapolis,United States,39.768378999999996,-86.158043,2.5,3.0,2.5,2.0,5.0,7.0,8.0,8.5,7.0,4.0,4.5,3.0
Atlanta,United States,33.749001,-84.387978,4.5,3.5,4.0,5.5,6.5,8.5,9.0,8.5,8.0,8.0,4.5,4.5
Detroit,United States,42.331429,-83.045753,2.5,2.5,3.0,2.0,4.0,5.0,8.0,7.0,6.5,3.0,2.5,2.5
Jacksonville,United States,30.332179999999997,-81.655647,5.0,5.0,6.0,7.0,6.5,8.5,9.5,8.5,7.5,8.0,6.5,7.0
Charlotte,United States,35.227089,-80.843132,5.0,4.0,4.0,5.0,6.0,8.5,9.0,8.0,7.0,7.0,5.0,5.0
Miami,United States,25.774269,-80.193657,4.5,7.5,7.5,7.0,7.5,8.0,8.0,8.0,8.0,6.0,5.0,6.0
Pittsburgh,United States,40.44062,-79.995888,3.0,2.5,2.5,2.5,6.0,6.0,8.5,8.5,7.5,4.0,4.0,3.0
Toronto,Canada,43.700111,-79.416298,2.0,2.0,2.0,2.5,4.5,5.0,8.0,6.0,6.5,2.5,2.5,2.0
Philadelphia,United States,39.952339,-75.163788,4.0,3.5,3.0,3.0,6.0,7.0,8.0,8.0,6.5,5.5,5.0,4.0
New York,United States,40.714271999999994,-74.005966,3.5,3.0,3.0,2.5,6.5,7.0,8.5,8.0,7.0,4.5,4.0,3.5
Montreal,Canada,45.508839,-73.587807,2.0,2.0,2.0,2.5,3.5,5.0,7.0,6.0,6.5,3.0,2.0,2.0
Boston,United States,42.358429,-71.05976899999999,2.5,2.0,2.5,2.5,4.0,5.5,6.5,8.0,6.5,3.5,3.0,3.0
Beersheba,Israel,31.25181,34.791302,5.0,6.0,6.0,7.5,9.5,9.5,10.0,10.5,9.5,8.5,6.5,5.0
Tel Aviv District,Israel,32.083328,34.799999,5.5,6.5,7.5,7.0,8.5,10.0,10.5,10.5,10.5,9.0,7.5,6.5
Eilat,Israel,29.55805,34.948212,6.5,6.5,7.5,8.5,9.5,9.5,9.5,9.5,9.5,9.0,7.0,6.5
Haifa,Israel,32.815559,34.98917,4.5,6.0,6.0,6.0,8.0,9.5,10.5,10.5,10.5,9.5,6.5,5.5
Nahariyya,Israel,33.005859,35.09409,4.0,5.0,6.0,6.5,9.0,10.0,10.5,11.0,9.5,8.5,6.5,4.5
Jerusalem,Israel,31.769039000000003,35.216331,5.0,7.0,8.0,8.0,9.5,10.5,10.5,11.5,10.5,9.0,7.5,6.5
